airline,source,destination,total_stops,route_interaction,month,day,duration_to_minutes,dep_sin,dep_cos,arrival_sin,arrival_cos,duration_times_stops,price
Air India,Mumbai,Hyderabad,0,Mumbai_Hyderabad,3,2,80,-0.6915130557822692,0.7223639620597557,-0.40274668985873824,0.9153114791194467,0.0,5462
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,6,0,360,-0.25881904510252035,-0.9659258262890684,-0.9659258262890682,0.25881904510252113,0.0,10262
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,3,3,2525,0.4226182617406995,-0.9063077870366499,0.0,1.0,0.0,11664
Vistara,Kolkata,Banglore,1,Kolkata_Banglore,5,1,1580,-0.8191520442889918,0.573576436351046,0.0,1.0,0.0,8452
Air India,Delhi,Cochin,1,Delhi_Cochin,6,0,320,-0.9961946980917455,-0.08715574274765825,-0.2588190451025207,0.9659258262890683,0.0,7174
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,3,3,600,-0.9940563382223196,0.10886687485196471,0.0,1.0,0.0,7791
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,3,2,995,0.5555702330196022,0.8314696123025452,-0.9762960071199335,0.21643961393810246,0.0,17024
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,3,3,335,-0.30070579950427384,0.9537169507482267,0.0,1.0,0.0,12242
Vistara,Banglore,Delhi,0,Banglore_Delhi,3,4,160,0.9659258262890683,-0.25881904510252085,0.5735764363510464,-0.8191520442889916,0.0,21520
Vistara,Kolkata,Banglore,1,Kolkata_Banglore,5,5,1625,-0.8191520442889918,0.573576436351046,0.0,1.0,0.0,9345
Air India,Banglore,Delhi,0,Banglore_Delhi,4,4,165,0.9990482215818578,-0.04361938736533589,0.7223639620597556,-0.6915130557822693,0.0,5911
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,2,800,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,9663
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,6,435,0.4226182617406995,-0.9063077870366499,-0.9940563382223195,-0.10886687485196507,0.0,9358
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,5,5,630,-0.7071067811865475,-0.7071067811865477,0.0,1.0,0.0,13727
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,6,3,465,0.13052619222005157,-0.9914448613738104,-0.9469301294951057,0.3214394653031615,0.0,14848
IndiGo,Mumbai,Hyderabad,0,Mumbai_Hyderabad,5,4,90,-0.6427876096865396,0.7660444431189778,-0.30070579950427384,0.9537169507482267,0.0,2437
SpiceJet,Banglore,Delhi,0,Banglore_Delhi,4,1,175,-0.6755902076156605,0.7372773368101239,0.0,1.0,0.0,3919
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,5,560,0.5735764363510464,-0.8191520442889916,-0.9659258262890682,0.25881904510252113,0.0,13014
Air Asia,Banglore,Delhi,0,Banglore_Delhi,5,6,165,0.21643961393810318,-0.9762960071199333,-0.4809887689193874,-0.8767267557075078,0.0,3383
Jet Airways,Mumbai,Hyderabad,0,Mumbai_Hyderabad,5,5,90,-0.9153114791194472,0.402746689858737,-0.6915130557822692,0.7223639620597557,0.0,3210
SpiceJet,Chennai,Kolkata,0,Chennai_Kolkata,3,0,140,-0.9978589232386035,-0.06540312923014362,-0.8549118706729468,0.5187732581605211,0.0,3384
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,6,2,685,0.8064446042674828,-0.5913096483635821,-0.887010833178222,0.46174861323503325,0.0,9899
Air India,Delhi,Cochin,2,Delhi_Cochin,6,5,1180,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,10966
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,5,0,180,-0.9978589232386035,-0.06540312923014362,-0.7518398074789778,0.6593458151000684,0.0,4030
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,5,5,335,-0.30070579950427384,0.9537169507482267,0.0,1.0,0.0,15554
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,2,1480,-0.9961946980917455,0.08715574274765789,0.0,1.0,0.0,14300
SpiceJet,Banglore,Delhi,0,Banglore_Delhi,3,6,175,0.5913096483635826,-0.8064446042674824,-0.13052619222005132,-0.9914448613738105,0.0,3925
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,4,1310,0.08715574274765864,-0.9961946980917455,0.0,1.0,0.0,25735
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,4,1,810,0.9914448613738104,0.1305261922200517,-0.9659258262890682,0.25881904510252113,0.0,11664
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,6,2,175,-0.7518398074789773,-0.6593458151000691,-0.9990482215818578,0.043619387365335764,0.0,5769
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,6,6,510,-0.5187732581605212,-0.8549118706729467,-0.36243803828370186,0.9320078692827984,0.0,10844
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,6,6,165,1.0,6.123233995736766e-17,0.7518398074789774,-0.6593458151000688,0.0,8016
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,5,0,450,0.13052619222005157,-0.9914448613738104,-0.9659258262890682,0.25881904510252113,0.0,9732
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,5,3,810,-0.2376858923261735,0.9713420698132613,0.0,1.0,0.0,15129
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,0,590,0.8064446042674828,-0.5913096483635821,-0.9978589232386036,0.06540312923014237,0.0,10844
Jet Airways,Mumbai,Hyderabad,0,Mumbai_Hyderabad,3,6,90,0.6915130557822693,0.7223639620597556,0.9153114791194471,0.40274668985873724,0.0,2071
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,6,2,780,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474,0.0,13797
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,2,425,0.9914448613738104,0.1305261922200517,-0.15212338618991642,-0.9883615104677608,0.0,14441
Air India,Kolkata,Banglore,2,Kolkata_Banglore,5,6,1410,-0.9469301294951056,-0.3214394653031618,0.0,1.0,0.0,13437
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,3,5,1295,0.9762960071199334,-0.2164396139381028,0.0,1.0,0.0,16289
Air Asia,Kolkata,Banglore,1,Kolkata_Banglore,6,3,720,-0.3420201433256686,0.9396926207859084,0.0,1.0,0.0,6810
IndiGo,Chennai,Kolkata,0,Chennai_Kolkata,5,6,140,-0.3214394653031611,-0.9469301294951058,-0.8064446042674827,-0.5913096483635822,0.0,3597
IndiGo,Chennai,Kolkata,0,Chennai_Kolkata,3,4,140,0.8767267557075078,-0.48098876891938747,0.4422886902190013,-0.8968727415326883,0.0,6297
Air India,Kolkata,Banglore,1,Kolkata_Banglore,5,4,1435,-0.7933533402912352,0.6087614290087205,0.0,1.0,0.0,10413
IndiGo,Delhi,Cochin,1,Delhi_Cochin,6,2,305,-0.13052619222005168,0.9914448613738104,0.0,1.0,0.0,10112
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,4,3,175,-0.7518398074789773,-0.6593458151000691,-0.9990482215818578,0.043619387365335764,0.0,5198
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,3,705,0.9914448613738105,-0.13052619222005138,-0.9978589232386036,0.06540312923014237,0.0,10844
Air Asia,Kolkata,Banglore,0,Kolkata_Banglore,3,1,150,-0.30070579950427384,0.9537169507482267,0.0,1.0,0.0,4082
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,1,280,0.5555702330196022,-0.8314696123025453,-0.5913096483635824,-0.8064446042674825,0.0,12295
Air India,Delhi,Cochin,2,Delhi_Cochin,6,0,725,0.9537169507482269,-0.30070579950427295,-0.9469301294951057,0.3214394653031615,0.0,12698
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,6,0,705,0.9238795325112867,-0.3826834323650897,-0.9469301294951057,0.3214394653031615,0.0,9001
Air India,Delhi,Cochin,2,Delhi_Cochin,6,6,1380,-0.8314696123025455,0.5555702330196018,0.0,1.0,0.0,13381
GoAir,Delhi,Cochin,1,Delhi_Cochin,6,6,365,0.9238795325112867,-0.3826834323650897,-0.4027466898587371,-0.9153114791194472,0.0,6276
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,2,1285,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,11467
IndiGo,Kolkata,Banglore,0,Kolkata_Banglore,4,5,165,0.5913096483635826,-0.8064446042674824,-0.08715574274765794,-0.9961946980917455,0.0,4174
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,4,0,1640,-0.9238795325112868,-0.3826834323650895,0.0,1.0,0.0,7064
SpiceJet,Kolkata,Banglore,0,Kolkata_Banglore,5,0,155,0.9713420698132614,-0.237685892326173,0.6087614290087204,-0.7933533402912353,0.0,3873
SpiceJet,Delhi,Cochin,1,Delhi_Cochin,6,3,270,0.7518398074789774,-0.6593458151000688,-0.3214394653031611,-0.9469301294951058,0.0,4760
IndiGo,Delhi,Cochin,1,Delhi_Cochin,6,0,300,-0.8660254037844384,-0.5000000000000004,-0.7071067811865477,0.7071067811865474,0.0,6593
IndiGo,Banglore,Delhi,0,Banglore_Delhi,6,1,170,-0.8660254037844386,0.5000000000000001,-0.30070579950427384,0.9537169507482267,0.0,4823
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,6,400,-0.5187732581605212,-0.8549118706729467,-0.7518398074789778,0.6593458151000684,0.0,14781
Air India,Delhi,Cochin,2,Delhi_Cochin,6,6,865,-0.9807852804032303,-0.19509032201612866,0.0,1.0,0.0,12199
Air India,Banglore,Delhi,0,Banglore_Delhi,5,5,165,0.49999999999999994,-0.8660254037844387,-0.19509032201612792,-0.9807852804032305,0.0,6961
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,0,1430,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,14388
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,6,0,175,-0.7518398074789773,-0.6593458151000691,-0.9990482215818578,0.043619387365335764,0.0,5769
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,5,1125,0.5735764363510464,-0.8191520442889916,0.0,1.0,0.0,10368
Air India,Delhi,Cochin,1,Delhi_Cochin,5,5,925,0.8433914458128857,0.5372996083468239,-0.9469301294951057,0.3214394653031615,0.0,8879
IndiGo,Kolkata,Banglore,1,Kolkata_Banglore,5,2,325,-0.9997620270799091,0.021814885034561356,-0.13052619222005168,0.9914448613738104,0.0,6218
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,1,1265,-0.6755902076156605,0.7372773368101239,0.0,1.0,0.0,10844
SpiceJet,Banglore,Delhi,0,Banglore_Delhi,4,2,160,0.9997620270799091,0.02181488503456116,0.7798844830928818,-0.6259234721840591,0.0,3919
IndiGo,Banglore,Delhi,0,Banglore_Delhi,6,6,170,-0.9600498543859286,-0.27982901403099236,-0.8968727415326885,0.442288690219001,0.0,4823
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,6,2,335,-0.30070579950427384,0.9537169507482267,0.0,1.0,0.0,10262
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,4,0,1220,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,7064
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,0,505,0.5913096483635826,-0.8064446042674824,-1.0,-1.8369701987210297e-16,0.0,12384
IndiGo,Kolkata,Banglore,0,Kolkata_Banglore,4,4,155,-0.9807852804032303,-0.19509032201612866,-0.887010833178222,0.46174861323503325,0.0,4174
IndiGo,Banglore,Delhi,0,Banglore_Delhi,4,2,170,-0.25881904510252035,-0.9659258262890684,-0.8433914458128855,-0.5372996083468242,0.0,4077
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,5,3,1195,-0.2376858923261735,0.9713420698132613,0.0,1.0,0.0,15129
Air India,Kolkata,Banglore,2,Kolkata_Banglore,5,4,1195,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,9416
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,6,0,175,0.21643961393810318,-0.9762960071199333,-0.5187732581605212,-0.8549118706729467,0.0,5769
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,4,870,-0.8064446042674829,0.591309648363582,0.0,1.0,0.0,13067
IndiGo,Delhi,Cochin,1,Delhi_Cochin,4,2,320,0.9762960071199334,-0.2164396139381028,-0.04361938736533627,-0.9990482215818578,0.0,5298
IndiGo,Delhi,Cochin,1,Delhi_Cochin,6,0,750,0.7933533402912352,-0.6087614290087207,-0.7071067811865477,0.7071067811865474,0.0,6416
IndiGo,Banglore,Delhi,0,Banglore_Delhi,4,4,175,-0.9940563382223196,0.10886687485196471,-0.6427876096865396,0.7660444431189778,0.0,4990
Vistara,Delhi,Cochin,0,Delhi_Cochin,6,3,190,-0.6427876096865393,-0.766044443118978,-0.9990482215818578,-0.04361938736533613,0.0,6216
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,5,0,535,-0.9238795325112866,0.38268343236509,0.0,1.0,0.0,15129
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,1,800,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,10844
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,3,435,0.7223639620597556,-0.6915130557822693,-0.8870108331782215,-0.46174861323503436,0.0,7832
SpiceJet,Kolkata,Banglore,0,Kolkata_Banglore,5,5,145,0.7071067811865476,-0.7071067811865475,0.15212338618991708,-0.9883615104677607,0.0,4491
IndiGo,Delhi,Cochin,1,Delhi_Cochin,3,6,310,0.9396926207859084,-0.3420201433256687,-0.13052619222005132,-0.9914448613738105,0.0,12214
Air Asia,Delhi,Cochin,1,Delhi_Cochin,5,3,340,-0.9469301294951056,-0.3214394653031618,-0.40274668985873824,0.9153114791194467,0.0,6752
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,6,3,450,-0.7223639620597561,0.691513055782269,0.0,1.0,0.0,10262
Vistara,Kolkata,Banglore,1,Kolkata_Banglore,6,6,1550,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,9135
IndiGo,Chennai,Kolkata,0,Chennai_Kolkata,6,5,145,0.10886687485196457,-0.9940563382223196,-0.5000000000000001,-0.8660254037844386,0.0,3858
SpiceJet,Mumbai,Hyderabad,0,Mumbai_Hyderabad,6,5,90,-0.32143946530316186,0.9469301294951056,0.0,1.0,0.0,1965
Air India,Kolkata,Banglore,1,Kolkata_Banglore,5,4,625,0.49999999999999994,-0.8660254037844387,-0.8064446042674829,0.591309648363582,0.0,10413
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,5,0,1615,0.5735764363510464,-0.8191520442889916,0.0,1.0,0.0,15129
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,6,6,830,0.08715574274765864,-0.9961946980917455,0.0,1.0,0.0,6795
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,6,0,450,0.13052619222005157,-0.9914448613738104,-0.9659258262890682,0.25881904510252113,0.0,14714
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,5,5,450,-0.7223639620597561,0.691513055782269,0.0,1.0,0.0,12373
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,4,0,690,0.5913096483635826,-0.8064446042674824,-0.6915130557822692,0.7223639620597557,0.0,8066
Air India,Delhi,Cochin,2,Delhi_Cochin,3,2,1115,-0.27982901403099203,-0.9600498543859287,0.0,1.0,0.0,8892
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,5,1655,0.8064446042674828,-0.5913096483635821,0.0,1.0,0.0,10844
Air Asia,Kolkata,Banglore,1,Kolkata_Banglore,5,0,710,0.9153114791194472,-0.40274668985873713,-0.9320078692827986,0.36243803828370147,0.0,5192
IndiGo,Banglore,Delhi,0,Banglore_Delhi,5,5,180,-0.9600498543859286,-0.27982901403099236,-0.8767267557075079,0.48098876891938736,0.0,4823
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,2,1520,0.5913096483635826,-0.8064446042674824,0.0,1.0,0.0,12121
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,3,2,550,-0.9469301294951057,0.3214394653031615,0.0,1.0,0.0,6540
IndiGo,Delhi,Cochin,1,Delhi_Cochin,5,0,415,-0.9883615104677607,0.15212338618991678,0.0,1.0,0.0,7191
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,5,5,1615,0.5735764363510464,-0.8191520442889916,0.0,1.0,0.0,15129
SpiceJet,Mumbai,Hyderabad,0,Mumbai_Hyderabad,5,0,90,-0.3214394653031611,-0.9469301294951058,-0.6593458151000688,-0.7518398074789775,0.0,2385
IndiGo,Delhi,Cochin,1,Delhi_Cochin,6,5,810,0.9238795325112867,-0.3826834323650897,-0.7071067811865477,0.7071067811865474,0.0,6416
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,4,1655,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,10844
IndiGo,Banglore,Delhi,0,Banglore_Delhi,6,5,170,0.7933533402912352,-0.6087614290087207,0.17364817766693028,-0.984807753012208,0.0,4823
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,3,6,660,-0.6755902076156605,0.7372773368101239,0.0,1.0,0.0,14231
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,4,1,510,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,6838
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,0,305,-0.5187732581605212,-0.8549118706729467,-0.953716950748227,0.3007057995042726,0.0,13502
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,6,3,185,-0.9713420698132614,0.23768589232617307,-0.5000000000000004,0.8660254037844384,0.0,8016
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,3,2,1325,0.9961946980917455,-0.08715574274765824,0.0,1.0,0.0,9296
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,6,3,575,0.5913096483635826,-0.8064446042674824,-0.953716950748227,0.3007057995042726,0.0,14151
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,6,4,185,-0.9713420698132614,0.23768589232617307,-0.5000000000000004,0.8660254037844384,0.0,7754
GoAir,Banglore,Delhi,0,Banglore_Delhi,3,6,175,0.8968727415326884,-0.44228869021900113,0.3420201433256689,-0.9396926207859083,0.0,3898
Air India,Delhi,Cochin,2,Delhi_Cochin,5,2,1560,-0.9807852804032303,-0.19509032201612866,0.0,1.0,0.0,13039
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,3,6,385,0.5555702330196022,-0.8314696123025453,-0.8870108331782215,-0.46174861323503436,0.0,11265
IndiGo,Delhi,Cochin,1,Delhi_Cochin,3,2,575,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.0,14871
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,4,530,-0.30070579950427384,0.9537169507482267,0.0,1.0,0.0,26890
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,5,5,730,-0.6755902076156605,0.7372773368101239,0.0,1.0,0.0,9663
IndiGo,Banglore,Delhi,0,Banglore_Delhi,5,4,170,-0.13052619222005168,0.9914448613738104,0.0,1.0,0.0,4591
Air India,Delhi,Cochin,2,Delhi_Cochin,5,3,1275,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.0,10441
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,3,2,520,-0.8968727415326885,0.442288690219001,0.0,1.0,0.0,12242
Air India,Delhi,Cochin,2,Delhi_Cochin,6,3,435,1.2246467991473532e-16,-1.0,-0.9469301294951057,0.3214394653031615,0.0,8603
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,2,1000,0.06540312923014312,-0.9978589232386035,0.0,1.0,0.0,13882
IndiGo,Delhi,Cochin,1,Delhi_Cochin,6,3,835,0.7798844830928818,-0.6259234721840591,-0.38268343236508956,0.9238795325112868,0.0,6442
SpiceJet,Banglore,Delhi,0,Banglore_Delhi,5,0,170,0.6087614290087204,-0.7933533402912353,-0.08715574274765794,-0.9961946980917455,0.0,3971
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,6,2,1155,-0.5187732581605212,-0.8549118706729467,0.0,1.0,0.0,13044
IndiGo,Kolkata,Banglore,1,Kolkata_Banglore,6,2,325,-0.9997620270799091,0.021814885034561356,-0.13052619222005168,0.9914448613738104,0.0,6218
SpiceJet,Chennai,Kolkata,0,Chennai_Kolkata,5,5,135,0.819152044288992,-0.5735764363510458,0.36243803828370175,-0.9320078692827984,0.0,3543
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,5,1375,0.9914448613738104,0.1305261922200517,0.0,1.0,0.0,10368
SpiceJet,Kolkata,Banglore,0,Kolkata_Banglore,4,5,155,0.9713420698132614,-0.237685892326173,0.6087614290087204,-0.7933533402912353,0.0,3841
Air India,Banglore,Delhi,0,Banglore_Delhi,5,1,180,0.9978589232386035,0.06540312923014305,0.7518398074789774,-0.6593458151000688,0.0,6961
Air India,Kolkata,Banglore,1,Kolkata_Banglore,4,0,745,-0.7933533402912352,0.6087614290087205,0.0,1.0,0.0,7893
Vistara,Banglore,Delhi,0,Banglore_Delhi,3,4,160,0.9659258262890683,-0.25881904510252085,0.5735764363510464,-0.8191520442889916,0.0,6138
Air India,Banglore,Delhi,0,Banglore_Delhi,4,3,165,-0.9659258262890683,-0.25881904510252063,-0.8968727415326885,0.442288690219001,0.0,6121
Air India,Delhi,Cochin,0,Delhi_Cochin,6,4,180,-0.5372996083468236,-0.8433914458128858,-0.9762960071199334,-0.21643961393810282,0.0,5201
Jet Airways,Mumbai,Hyderabad,0,Mumbai_Hyderabad,3,4,90,-0.9153114791194472,0.402746689858737,-0.6915130557822692,0.7223639620597557,0.0,2759
Air Asia,Banglore,Delhi,0,Banglore_Delhi,5,6,170,-0.0218148850345609,0.9997620270799091,0.0,1.0,0.0,4483
IndiGo,Delhi,Cochin,1,Delhi_Cochin,3,2,265,0.9153114791194472,-0.40274668985873713,1.2246467991473532e-16,-1.0,0.0,5073
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,5,5,600,0.7071067811865476,-0.7071067811865475,-0.9659258262890682,0.25881904510252113,0.0,12373
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,4,570,0.7223639620597556,-0.6915130557822693,-0.9940563382223196,0.10886687485196471,0.0,9134
Air India,Mumbai,Hyderabad,0,Mumbai_Hyderabad,6,1,85,-0.7071067811865475,-0.7071067811865477,-0.9153114791194471,-0.40274668985873735,0.0,3100
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,3,6,1015,0.9914448613738105,-0.13052619222005138,-0.15212338618991633,0.9883615104677608,0.0,13339
IndiGo,Chennai,Kolkata,0,Chennai_Kolkata,3,4,135,-0.34202014332566866,-0.9396926207859084,-0.8064446042674827,-0.5913096483635822,0.0,6297
Jet Airways,Banglore,Delhi,0,Banglore_Delhi,5,6,165,1.0,6.123233995736766e-17,0.7518398074789774,-0.6593458151000688,0.0,7229
Jet Airways,Banglore,Delhi,1,Banglore_Delhi,3,0,1045,0.08715574274765864,-0.9961946980917455,0.0,1.0,0.0,11087
IndiGo,Kolkata,Banglore,1,Kolkata_Banglore,4,0,265,-0.9396926207859085,0.34202014332566816,-0.06540312923014367,0.9978589232386035,0.0,3809
Vistara,Banglore,Delhi,0,Banglore_Delhi,6,5,155,-0.9659258262890683,-0.25881904510252063,-0.9153114791194472,0.402746689858737,0.0,4878
IndiGo,Chennai,Kolkata,0,Chennai_Kolkata,3,0,145,0.10886687485196457,-0.9940563382223196,-0.5000000000000001,-0.8660254037844386,0.0,3858
Multiple carriers,Delhi,Cochin,1,Delhi_Cochin,5,1,730,0.9600498543859287,-0.2798290140309919,-0.9469301294951057,0.3214394653031615,0.0,10711
SpiceJet,Kolkata,Banglore,0,Kolkata_Banglore,6,4,140,-0.4226182617407,0.9063077870366497,0.0,1.0,0.0,3841
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,5,5,395,-0.5372996083468242,0.8433914458128855,0.0,1.0,0.0,12373
IndiGo,Banglore,Delhi,0,Banglore_Delhi,3,6,175,0.9537169507482269,-0.30070579950427295,0.48098876891938763,-0.8767267557075077,0.0,6144
IndiGo,Kolkata,Banglore,0,Kolkata_Banglore,4,3,160,-0.6259234721840596,0.7798844830928813,0.0,1.0,0.0,4174
Jet Airways,Kolkata,Banglore,1,Kolkata_Banglore,6,2,705,0.9914448613738105,-0.13052619222005138,-0.9978589232386036,0.06540312923014237,0.0,13626
Jet Airways,Delhi,Cochin,2,Delhi_Cochin,6,0,810,0.9914448613738104,0.1305261922200517,-0.9659258262890682,0.25881904510252113,0.0,13292
IndiGo,Kolkata,Banglore,0,Kolkata_Banglore,3,6,165,0.4617486132350339,-0.8870108331782217,-0.23768589232617313,-0.9713420698132614,0.0,6565
IndiGo,Kolkata,Banglore,0,Kolkata_Banglore,4,5,155,0.9396926207859083,0.3420201433256688,0.9469301294951057,-0.3214394653031616,0.0,4174
Jet Airways,Delhi,Cochin,1,Delhi_Cochin,3,5,660,-0.9883615104677607,-0.15212338618991714,0.0,1.0,0.0,15554
Air India,Mumbai,Hyderabad,0,Mumbai_Hyderabad,6,5,75,-0.9238795325112866,0.38268343236509,-0.7518398074789778,0.6593458151000684,0.0,3100
Air India,Kolkata,Banglore,1,Kolkata_Banglore,5,5,1515,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,7662
IndiGo,Banglore,Delhi,0,Banglore_Delhi,3,3,165,1.0,6.123233995736766e-17,0.7518398074789774,-0.6593458151000688,0.0,5734
Vistara,Banglore,Delhi,0,Banglore_Delhi,3,6,165,0.5372996083468238,-0.8433914458128857,-0.15212338618991642,-0.9883615104677608,0.0,6138
